Mean1,Sd1,Mean2,Sd2,Layer,Epoch,Method
0.7393432427841631,0.06096377063081732,1.2367889653323707,0.34987527762041953,4,100,OTTT
0.7175816953487494,0.0590000155473862,1.08366234739825,0.29714683775351297,5,100,OTTT
0.7575900537485349,0.05607604765908374,1.0953643533774435,0.3015735521539219,6,100,OTTT
0.7336953531917323,0.054980317043075155,1.2302885669141665,0.3308401515020333,7,100,OTTT
0.7415712077013203,0.056135736150494026,1.1910298812786229,0.32534417953418354,8,100,OTTT
0.6853263588018821,0.05297726548033763,1.1300772233137553,0.29636473097121774,9,100,OTTT
0.7421173104937647,0.04952891022688558,1.2214362792642108,0.31978495727852563,10,100,OTTT
0.7038688872214621,0.04769035309256125,1.493478143985995,0.37883611796653743,11,100,OTTT
0.7152726349925262,0.048249181679715265,1.443482984386852,0.36730934648809005,12,100,OTTT
0.6474165485244097,0.047640741313607536,1.2897762321174222,0.312173151460977,13,100,OTTT
0.7415325507693346,0.04421912121373677,1.1628498902088853,0.28229403201681197,14,100,OTTT
0.7498503715830179,0.04453089486042887,1.154511469121779,0.271051568383113,15,100,OTTT
0.7815894391411551,0.04480398246703952,0.6065462278571844,0.1400907867126636,16,100,OTTT
0.7772332490177374,0.048765173692307325,0.49401777976987915,0.10920104821594676,17,100,OTTT
0.9392978532213561,0.031626165789555516,0.17751721389086084,0.040861922554471644,18,100,OTTT
0.6191347883143743,0.1660663939349523,1.3911857248192103,0.6510031695139247,1,200,OTTT
0.6063058388141602,0.13078985810957336,1.1606843545174323,0.48272173831849574,2,200,OTTT
0.5981679680863354,0.12727501746716013,1.175802502394791,0.4775056976717174,3,200,OTTT
0.6167231978474139,0.13003932783537034,1.1554127582533718,0.47904834804377205,4,200,OTTT
0.6006640787123108,0.12617333957540777,1.0219060793118349,0.41057445648980284,5,200,OTTT
0.6361569078798941,0.12561527811316672,1.104920696662727,0.4497307092629935,6,200,OTTT
0.6179666734001242,0.12128868240947478,1.2505446544415515,0.49638664290338214,7,200,OTTT
0.6210860992935647,0.12395767462998966,1.236381365666011,0.4958274904972735,8,200,OTTT
0.5751099327004368,0.11675488000860754,1.1827039265487624,0.4513691045741876,9,200,OTTT
0.6137921103060474,0.11676105484669047,1.3040200258186623,0.5010183293727881,10,200,OTTT
0.5883409103495516,0.11298899159987935,1.6418041186967671,0.6132948976921047,11,200,OTTT
0.5943719862212598,0.11418814362783405,1.6359372991644008,0.6115541702733934,12,200,OTTT
0.5401889815182448,0.10995901662753325,1.4409449096678466,0.5131736399328822,13,200,OTTT
0.611028020936762,0.11378109224428916,1.2877388066312874,0.45451377786488345,14,200,OTTT
0.6321984266578464,0.11653884488719721,1.2634703345625409,0.4274455519409582,15,200,OTTT
0.6617054268622368,0.118153667063624,0.6581598474869502,0.20881195806181432,16,200,OTTT
0.6622717774708048,0.1193078615409373,0.4956747544798213,0.15146228486995936,17,200,OTTT
0.864201443124367,0.10139272088677316,0.1688428699145053,0.05570639964453216,18,200,OTTT
0.9472339107498775,0.021899111166257635,1.3937618821744882,0.31806294713797323,1,1,FPTT
0.9421437695603364,0.017544956101925264,1.2140484910921006,0.22008256013299002,2,1,FPTT
0.9057928448907849,0.01917846306089509,0.8568238585462338,0.11004313958891643,3,1,FPTT
0.9048162968149563,0.019531669336189293,0.7215304476198252,0.09281561838156704,4,1,FPTT
0.8793374893759949,0.021900959651087012,0.6173983036174359,0.06720159803672783,5,1,FPTT
0.8904444921031957,0.01968140999679896,0.6646630203830753,0.06904811658946648,6,1,FPTT
0.8290899619555504,0.025154819441774147,0.7175421749889164,0.05599711346364328,7,1,FPTT
0.7951616916552701,0.027517919290867224,0.712373419928337,0.05390292509005064,8,1,FPTT
0.7743169780577344,0.027461366186006326,0.6925385563077451,0.046742689363862125,9,1,FPTT
0.8432193170283729,0.01932592999726666,0.697469966970241,0.04641220940321987,10,1,FPTT
0.7828660058608892,0.020849950714132502,0.8665779442091147,0.049573156872639725,11,1,FPTT
0.7415455117268386,0.024039759681145502,0.8782329100652785,0.049157025712506616,12,1,FPTT
0.7152740728687232,0.01864965791129352,0.8869701347644137,0.04703770857306008,13,1,FPTT
0.8655159186462129,0.01239483430381104,0.6582630630034033,0.036836040102215355,14,1,FPTT
0.8716520348828519,0.01486600188801695,0.7842506419070704,0.040378078626901945,15,1,FPTT
0.8156515005761317,0.020747236808936188,0.6786157330080733,0.03525649415094724,16,1,FPTT
0.8319922142236394,0.017846010119816555,0.6935517707035881,0.03373605827062388,17,1,FPTT
0.9886725877677586,0.004221961870752249,0.2752349368855834,0.010077588059048528,18,1,FPTT
0.8396802536198791,0.05337557277170409,1.2325951030403948,0.3226085241885564,1,50,FPTT
0.819801581806471,0.032665335970455504,1.093010608083002,0.24483481613240995,2,50,FPTT
0.8149572854310694,0.030872694448136673,1.0819952763836453,0.23757772713468805,3,50,FPTT
0.8333287367289564,0.03043498968739099,1.0868405371179348,0.24069196286313765,4,50,FPTT
0.8152675116565865,0.030345741426832648,0.9592124477467677,0.20848253977791173,5,50,FPTT
